,n,weight,value,time,maxgen
00 - Uncorrected,50,13487,18269,0.23,50
,,13225,19335,0.78,200
,,,,,
,100,22577,39444,0.73,50
,,22509,40344,4.30,200
,,,,,
,200,48785,76477,2.62,50
,,48821,77735,10.09,200
,,,,,
,500,1309111,188344,12.07,50
,,130390,195760,44.62,200
,,,,,
,1000,242405,361459,43.79,50
,,243065,407375,167.36,200
,,,,,
01 - WeeklyCorrelated,50,11788,12910,0.27,50
,,11770,13005,1.50,200
,,,,,
,100,25369,27234,0.86,50
,,25369,27443,4.35,200
,,,,,
,200,48106,53157,2.39,50
,,48095,53169,9.34,200
,,,,,
,500,123578,135139,12.31,50
,,123763,136631,45.78,200
,,,,,
,1000,254758,270987,43.42,50
,,254765,276420,170.58,200
,,,,,
02 - StronglyCorrelated,50,11791,14991,0.28,50
,,11778,15178,0.91,200
,,,,,
,100,25388,31888,0.72,50
,,25316,31916,3.66,200
,,,,,
,200,48105,61305,2.23,50
,,48101,60901,9.55,200
,,,,,
,500,123752,156852,11.83,50
,,123764,157464,44.86,200
,,,,,
,1000,254775,316875,42.59,50
,,254770,321970,168.23,200
,,,,,
03 - InverseStronglyCorrelated,50,14263,12463,0.27,50
,,14268,12368,1.40,200
,,,,,
,100,30341,26841,0.80,50
,,30342,26742,4.08,200
,,,,,
,200,58001,51101,2.17,50
,,58007,51307,9.13,200
,,,,,
,500,148502,130802,11.30,50
,,148516,131416,44.65,200
,,,,,
,1000,304278,266078,39.98,50
,,304259,269359,181.78,200
,,,,,
04 - AlmostStronglyCorrelated,50,11762,15171,0.26,50
,,11777,14986,1.50,200
,,,,,
,100,25345,31835,0.98,50
,,25391,31678,3.45,200
,,,,,
,200,48093,61488,2.38,50
,,48101,61603,10.35,200
,,,,,
,500,123758,156406,12.35,50
,,123760,157335,43.84,200
,,,,,
,1000,254762,317265,45.46,50
,,254774,320861,166.56,200
,,,,,
05 - SubsetSum,50,11793,11793,0.27,50
,,11793,11793,1.40,200
,,,,,
,100,25391,25391,0.76,50
,,25391,25391,3.96,200
,,,,,
,200,48106,48106,2.11,50
,,48106,48106,8.45,200
,,,,,
,500,123764,123764,12.31,50
,,123764,123764,42.00,200
,,,,,
,1000,254777,254777,48.20,50
,,254777,254777,159.68,200
,,,,,
06 - UncorrelatedWithSimilarWeight,50,2401292,17312,0.31,50
,,2401272,17517,0.85,200
,,,,,
,100,4902202,36480,0.99,50
,,4902395,36798,3.56,200
,,,,,
,200,9905130,70220,2.65,50
,,9905050,71663,9.70,200
,,,,,
,500,24713094,174147,13.58,50
,,24712937,186344,43.71,200
,,,,,
,1000,49523479,336219,42.27,50
,,49523764,368768,168.03,200
,,,,,
07 - SpannertUncorrelated,50,6578,11948,0.25,50
,,6578,11948,1.41,200
,,,,,
,100,11914,22147,1.12,50
,,11914,22147,3.69,200
,,,,,
,200,25898,43340,2.29,50
,,25898,43340,9.48,200
,,,,,
,500,63365,113366,11.71,50
,,63365,113366,45.79,200
,,,,,
,1000,120497,210026,41.75,50
,,120497,210026,166.34,200
,,,,,
08 - SpannerWeaklyCorrelated,50,6502,15236,0.28,50
,,6437,15276,1.14,200
,,,,,
,100,11997,26796,0.82,50
,,11951,27478,3.68,200
,,,,,
,200,23703,59094,2.39,50
,,23770,60080,9.64,200
,,,,,
,500,64475,142890,13.37,50
,,64611,145888,43.90,200
,,,,,
,1000,125399,257802,40.96,50
,,125440,275800,165.54,200
,,,,,
09 - SpannerStronglyCorrelated,50,6461,27261,0.26,50
,,6461,27261,1.10,200
,,,,,
,100,12004,49204,0.81,50
,,12004,49204,4.11,200
,,,,,
,200,23674,102874,2.52,50
,,23674,102874,9.50,200
,,,,,
,500,64580,256080,11.44,50
,,64580,256080,44.87,200
,,,,,
,1000,125424,481624,43.23,50
,,125424,481624,165.60,200
,,,,,
10 - MultipleStronglyCorrelated,50,11764,19164,0.35,50
,,11768,19368,1.23,200
,,,,,
,100,25379,39879,0.78,50
,,25384,39884,3.92,200
,,,,,
,200,48098,77598,2.56,50
,,48099,77699,10.12,200
,,,,,
,500,123715,195915,11.45,50
,,123762,197362,43.95,200
,,,,,
,1000,254745,392945,41.34,50
,,254701,404301,164.65,200
,,,,,
11 - ProfitCeiling,50,11793,11769,0.46,50
,,11791,11769,1.23,200
,,,,,
,100,25389,25356,0.72,50
,,25390,25353,3.27,200
,,,,,
,200,48106,48048,2.24,50
,,48106,48045,8.54,200
,,,,,
,500,123764,123615,10.93,50
,,123764,123633,42.91,200
,,,,,
,1000,254776,254490,39.53,50
,,254777,254571,168.03,200
,,,,,
12 - Circle,50,11793,248484,0.28,50
,,11792,248461,1.13,200
,,,,,
,100,25391,535000,0.77,50
,,25391,535001,2.53,200
,,,,,
,200,48106,1013616,2.32,50
,,48106,1013617,7.32,200
,,,,,
,500,123764,2607767,11.05,50
,,123764,2607790,40.57,200
,,,,,
,1000,254777,5368272,40.02,50
,,254777,5368323,158.25,200
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
